algorithm,path_length,nodes_explored,compute_time,replan_count,predictive_replans,evade_count,found_treasure,wall_density,num_guards,repetition
DFS,113,574,0.0013563998509198427,2,2,0,True,0.15,6,25
DFS,138,7934,0.024205197812989354,37,37,29,True,0.15,6,26
DFS,76,370,0.0012421996798366308,4,4,1,True,0.15,6,27
DFS,405,22872,0.06899880059063435,95,95,61,False,0.15,6,28
DFS,277,7460,0.021490000654011965,46,46,26,True,0.15,6,29
DFS,85,104,0.00022980011999607086,0,0,0,True,0.25,0,0
DFS,55,72,0.0001596000511199236,0,0,0,True,0.25,0,1
DFS,49,144,0.00030499999411404133,0,0,0,True,0.25,0,2
DFS,79,137,0.0005238999146968126,0,0,0,True,0.25,0,3
DFS,73,83,0.0002935000229626894,0,0,0,True,0.25,0,4
DFS,47,193,0.0006343000568449497,0,0,0,True,0.25,0,5
DFS,71,95,0.0003575999289751053,0,0,0,True,0.25,0,6
DFS,107,120,0.0004197999369353056,0,0,0,True,0.25,0,7
DFS,77,95,0.00033410009928047657,0,0,0,True,0.25,0,8
DFS,63,67,0.00024610012769699097,0,0,0,True,0.25,0,9
DFS,71,214,0.0007660000119358301,0,0,0,True,0.25,0,10
DFS,53,93,0.00033599999733269215,0,0,0,True,0.25,0,11
DFS,71,99,0.0003668998833745718,0,0,0,True,0.25,0,12
DFS,69,72,0.00016540009528398514,0,0,0,True,0.25,0,13
DFS,69,190,0.0004021998029202223,0,0,0,True,0.25,0,14
DFS,71,84,0.00018400000408291817,0,0,0,True,0.25,0,15
DFS,65,127,0.00027139997109770775,0,0,0,True,0.25,0,16
DFS,55,60,0.0001370999962091446,0,0,0,True,0.25,0,17
DFS,81,102,0.00022240006364881992,0,0,0,True,0.25,0,18
DFS,65,141,0.00029450003057718277,0,0,0,True,0.25,0,19
DFS,111,114,0.0002566000912338495,0,0,0,True,0.25,0,20
DFS,81,96,0.00035419990308582783,0,0,0,True,0.25,0,21
DFS,53,63,0.00013749999925494194,0,0,0,True,0.25,0,22
DFS,77,80,0.00017939996905624866,0,0,0,True,0.25,0,23
DFS,63,196,0.000417300034314394,0,0,0,True,0.25,0,24
DFS,75,81,0.00018190010450780392,0,0,0,True,0.25,0,25
DFS,87,107,0.00023259990848600864,0,0,0,True,0.25,0,26
DFS,57,68,0.00014610006473958492,0,0,0,True,0.25,0,27
DFS,81,92,0.0002046001609414816,0,0,0,True,0.25,0,28
DFS,93,177,0.0006713001057505608,0,0,0,True,0.25,0,29
DFS,93,1072,0.0026813996955752373,6,6,0,True,0.25,2,0
DFS,110,1714,0.003927499521523714,8,8,1,True,0.25,2,1
DFS,177,1338,0.0031349000055342913,9,9,0,True,0.25,2,2
DFS,90,1094,0.002526199212297797,7,7,1,True,0.25,2,3
DFS,113,419,0.0010527996346354485,4,4,0,True,0.25,2,4
DFS,53,214,0.0005071999039500952,2,2,0,True,0.25,2,5
DFS,207,9963,0.026068900944665074,75,75,1,True,0.25,2,6
DFS,151,2173,0.006708200089633465,11,11,0,True,0.25,2,7
DFS,83,220,0.0009499001316726208,1,1,0,True,0.25,2,8
DFS,56,385,0.0009060001466423273,4,4,2,True,0.25,2,9
DFS,73,1086,0.002552600344642997,11,11,1,True,0.25,2,10
DFS,71,74,0.0001759000588208437,0,0,0,True,0.25,2,11
DFS,59,71,0.00016529997810721397,0,0,0,True,0.25,2,12
DFS,143,1688,0.004735599737614393,10,10,4,True,0.25,2,13
DFS,108,3373,0.007746899500489235,17,17,8,True,0.25,2,14
DFS,67,708,0.0016131994780153036,5,5,5,True,0.25,2,15
DFS,62,641,0.002487099962309003,3,3,3,True,0.25,2,16
DFS,69,535,0.0021303994581103325,3,3,0,True,0.25,2,17
DFS,59,309,0.0007035001181066036,1,1,4,True,0.25,2,18
DFS,85,880,0.0034662995021790266,5,5,3,True,0.25,2,19
DFS,95,462,0.0010829002130776644,2,2,0,True,0.25,2,20
DFS,65,72,0.0001737999264150858,0,0,0,True,0.25,2,21
DFS,183,3550,0.011194898746907711,33,33,19,True,0.25,2,22
DFS,307,5024,0.01326080015860498,26,26,2,True,0.25,2,23
DFS,95,2447,0.008870500139892101,21,21,10,True,0.25,2,24
DFS,101,2808,0.00666880002245307,16,16,5,True,0.25,2,25
DFS,163,1480,0.005278400611132383,9,9,3,True,0.25,2,26
DFS,54,155,0.0003577002789825201,1,1,1,True,0.25,2,27
DFS,57,343,0.0007734000682830811,1,1,0,True,0.25,2,28
DFS,67,420,0.0009513997938483953,3,3,0,True,0.25,2,29
DFS,71,1306,0.0031017004512250423,18,18,5,True,0.25,4,0
DFS,97,1703,0.003925699507817626,11,11,3,True,0.25,4,1
DFS,441,12375,0.045292899711057544,59,59,39,False,0.25,4,2
DFS,139,1732,0.006877800682559609,25,25,6,True,0.25,4,3
DFS,274,7065,0.024638900300487876,53,53,12,True,0.25,4,4
DFS,228,5878,0.018336698645725846,31,31,14,True,0.25,4,5
DFS,75,1344,0.005231100600212812,16,16,4,True,0.25,4,6
DFS,61,487,0.0017876997590065002,7,7,0,True,0.25,4,7
DFS,97,2163,0.006153999362140894,16,16,2,True,0.25,4,8
DFS,88,2285,0.008056600810959935,19,19,1,True,0.25,4,9
DFS,54,554,0.0016312997322529554,6,6,3,True,0.25,4,10
DFS,426,18388,0.06045410083606839,74,74,43,False,0.25,4,11
DFS,137,2041,0.005573100643232465,16,16,8,True,0.25,4,12
DFS,97,1204,0.00415379973128438,13,13,22,True,0.25,4,13
DFS,327,6340,0.01822369988076389,29,29,3,True,0.25,4,14
DFS,55,309,0.001312699867412448,1,1,0,True,0.25,4,15
DFS,137,3183,0.009078700328245759,26,26,24,True,0.25,4,16
DFS,91,2224,0.005752399796620011,9,9,21,True,0.25,4,17
DFS,156,5946,0.016703798435628414,44,44,25,True,0.25,4,18
DFS,261,6378,0.017015699297189713,39,39,31,True,0.25,4,19
DFS,76,1015,0.002403900260105729,12,12,8,True,0.25,4,20
DFS,315,4245,0.01082989969290793,41,41,30,True,0.25,4,21
DFS,376,14206,0.03795669646933675,85,85,39,True,0.25,4,22
DFS,88,3850,0.008982599712908268,24,24,9,True,0.25,4,23
DFS,283,13232,0.035484799882397056,44,44,8,True,0.25,4,24
DFS,55,477,0.0010925005190074444,3,3,2,True,0.25,4,25
DFS,79,715,0.001667200354859233,4,4,0,True,0.25,4,26
DFS,267,5210,0.012908600270748138,27,27,4,True,0.25,4,27
DFS,128,2707,0.0065156992059201,21,21,10,True,0.25,4,28
DFS,207,3670,0.010223399847745895,43,43,16,True,0.25,4,29
DFS,109,1298,0.0050889006815850735,16,16,17,True,0.25,6,0
DFS,265,6771,0.02078880020417273,36,36,9,True,0.25,6,1
DFS,97,934,0.002678500022739172,6,6,3,True,0.25,6,2
DFS,361,17365,0.05558419949375093,107,107,25,True,0.25,6,3
DFS,380,27575,0.09481340204365551,118,118,88,True,0.25,6,4
DFS,81,1458,0.0042178998701274395,11,11,0,True,0.25,6,5
DFS,172,3590,0.015273599186912179,36,36,44,True,0.25,6,6
DFS,422,17475,0.07637799810618162,78,78,75,False,0.25,6,7
DFS,69,557,0.004747000290080905,3,3,0,True,0.25,6,8
DFS,79,3711,0.02595649939030409,18,18,0,True,0.25,6,9
DFS,213,7662,0.04974809964187443,68,68,24,True,0.25,6,10
DFS,121,3940,0.014285800512880087,22,22,0,True,0.25,6,11
DFS,91,1237,0.005281199933961034,7,7,0,True,0.25,6,12
DFS,249,9664,0.08035440044477582,51,51,13,True,0.25,6,13
DFS,253,9941,0.042884399415925145,72,72,24,True,0.25,6,14
DFS,173,4722,0.01717520086094737,34,34,29,True,0.25,6,15
DFS,172,4874,0.018543600337579846,40,40,29,True,0.25,6,16
DFS,137,3595,0.015645300038158894,31,31,4,True,0.25,6,17
DFS,198,6434,0.02225489914417267,45,45,29,True,0.25,6,18
DFS,301,15373,0.05625990009866655,97,97,27,True,0.25,6,19
DFS,273,16569,0.061877000611275434,75,75,20,True,0.25,6,20
DFS,83,1177,0.004969499772414565,10,10,0,True,0.25,6,21
DFS,173,6693,0.02322890004143119,54,54,26,True,0.25,6,22
DFS,403,14501,0.04348189802840352,97,97,59,False,0.25,6,23
DFS,85,1346,0.003180400701239705,15,15,23,True,0.25,6,24
